kind,date,mode_price
にんじん,20230701,1581.0922595656616
にんじん,20230703,1581.0922595656616
にんじん,20230704,1581.0922595656616
にんじん,20230706,1581.0922595656616
にんじん,20230707,1581.0922595656616
にんじん,20230708,1581.0922595656616
にんじん,20230710,1581.0922595656616
にんじん,20230711,1581.0922595656616
にんじん,20230713,1581.0922595656616
にんじん,20230714,1581.0922595656616
にんじん,20230715,1581.0922595656616
にんじん,20230718,1581.0922595656616
にんじん,20230719,1581.0922595656616
にんじん,20230720,1581.0922595656616
にんじん,20230721,1581.0922595656616
にんじん,20230722,1581.0922595656616
にんじん,20230724,1581.0922595656616
にんじん,20230725,1581.0922595656616
にんじん,20230727,1581.0922595656616
にんじん,20230728,1581.0922595656616
にんじん,20230729,1581.0922595656616
にんじん,20230731,1581.0922595656616
キャベツ,20230701,692.1330721311184
キャベツ,20230703,692.1330721311184
キャベツ,20230704,692.1330721311184
キャベツ,20230706,692.1330721311184
キャベツ,20230707,692.1330721311184
キャベツ,20230708,692.1330721311184
キャベツ,20230710,692.1330721311184
キャベツ,20230711,692.1330721311184
キャベツ,20230713,692.1330721311184
キャベツ,20230714,692.1330721311184
キャベツ,20230715,692.1330721311184
キャベツ,20230718,692.1330721311184
キャベツ,20230719,692.1330721311184
キャベツ,20230720,692.1330721311184
キャベツ,20230721,692.1330721311184
キャベツ,20230722,692.1330721311184
キャベツ,20230724,692.1330721311184
キャベツ,20230725,692.1330721311184
キャベツ,20230727,692.1330721311184
キャベツ,20230728,692.1330721311184
キャベツ,20230729,692.1330721311184
キャベツ,20230731,692.1330721311184
はくさい,20230701,1031.2939909816948
はくさい,20230703,1031.2939909816948
はくさい,20230704,1031.2939909816948
はくさい,20230706,1031.2939909816948
はくさい,20230707,1031.2939909816948
はくさい,20230708,1031.2939909816948
はくさい,20230710,1031.2939909816948
はくさい,20230711,1031.2939909816948
はくさい,20230713,1031.2939909816948
はくさい,20230714,1031.2939909816948
はくさい,20230715,1031.2939909816948
はくさい,20230718,1031.2939909816948
はくさい,20230719,1031.2939909816948
はくさい,20230720,1031.2939909816948
はくさい,20230721,1031.2939909816948
はくさい,20230722,1031.2939909816948
はくさい,20230724,1031.2939909816948
はくさい,20230725,1031.2939909816948
はくさい,20230727,1031.2939909816948
はくさい,20230728,1031.2939909816948
はくさい,20230729,1031.2939909816948
はくさい,20230731,1031.2939909816948
こまつな,20230701,131.01969111562943
こまつな,20230703,131.01969111562943
こまつな,20230704,131.01969111562943
こまつな,20230706,131.01969111562943
こまつな,20230707,131.01969111562943
こまつな,20230708,131.01969111562943
こまつな,20230710,131.01969111562943
こまつな,20230711,131.01969111562943
こまつな,20230713,131.01969111562943
こまつな,20230714,131.01969111562943
こまつな,20230715,131.01969111562943
こまつな,20230718,131.01969111562943
こまつな,20230719,131.01969111562943
こまつな,20230720,131.01969111562943
こまつな,20230721,131.01969111562943
こまつな,20230722,131.01969111562943
こまつな,20230724,131.01969111562943
こまつな,20230725,131.01969111562943
こまつな,20230727,131.01969111562943
こまつな,20230728,131.01969111562943
こまつな,20230729,131.01969111562943
こまつな,20230731,131.01969111562943
ブロッコリー,20230701,1838.7602984058112
ブロッコリー,20230703,1838.7602984058112
ブロッコリー,20230704,1838.7602984058112
ブロッコリー,20230706,1838.7602984058112
ブロッコリー,20230707,1838.7602984058112
ブロッコリー,20230708,1838.7602984058112
ブロッコリー,20230710,1838.7602984058112
ブロッコリー,20230711,1838.7602984058112
ブロッコリー,20230713,1838.7602984058112
ブロッコリー,20230714,1838.7602984058112
ブロッコリー,20230715,1838.7602984058112
ブロッコリー,20230718,1838.7602984058112
ブロッコリー,20230719,1838.7602984058112
ブロッコリー,20230720,1838.7602984058112
ブロッコリー,20230721,1838.7602984058112
ブロッコリー,20230722,1838.7602984058112
ブロッコリー,20230724,1838.7602984058112
ブロッコリー,20230725,1838.7602984058112
ブロッコリー,20230727,1838.7602984058112
ブロッコリー,20230728,1838.7602984058112
ブロッコリー,20230729,1838.7602984058112
ブロッコリー,20230731,1838.7602984058112
きゅうり,20230701,1331.2019377572317
きゅうり,20230703,1331.2019377572317
きゅうり,20230704,1331.2019377572317
きゅうり,20230706,1331.2019377572317
きゅうり,20230707,1331.2019377572317
きゅうり,20230708,1331.2019377572317
きゅうり,20230710,1331.2019377572317
きゅうり,20230711,1331.2019377572317
きゅうり,20230713,1331.2019377572317
きゅうり,20230714,1331.2019377572317
きゅうり,20230715,1331.2019377572317
きゅうり,20230718,1331.2019377572317
きゅうり,20230719,1331.2019377572317
きゅうり,20230720,1331.2019377572317
きゅうり,20230721,1331.2019377572317
きゅうり,20230722,1331.2019377572317
きゅうり,20230724,1331.2019377572317
きゅうり,20230725,1331.2019377572317
きゅうり,20230727,1331.2019377572317
きゅうり,20230728,1331.2019377572317
きゅうり,20230729,1331.2019377572317
きゅうり,20230731,1331.2019377572317
かぼちゃ,20230701,2798.244517060459
かぼちゃ,20230703,2798.244517060459
かぼちゃ,20230704,2798.244517060459
かぼちゃ,20230706,2798.244517060459
かぼちゃ,20230707,2798.244517060459
かぼちゃ,20230708,2798.244517060459
かぼちゃ,20230710,2798.244517060459
かぼちゃ,20230711,2798.244517060459
かぼちゃ,20230713,2798.244517060459
かぼちゃ,20230714,2798.244517060459
かぼちゃ,20230715,2798.244517060459
かぼちゃ,20230718,2798.244517060459
かぼちゃ,20230719,2798.244517060459
かぼちゃ,20230720,2798.244517060459
かぼちゃ,20230721,2798.244517060459
かぼちゃ,20230722,2798.244517060459
かぼちゃ,20230724,2798.244517060459
かぼちゃ,20230725,2798.244517060459
かぼちゃ,20230727,2798.244517060459
かぼちゃ,20230728,2798.244517060459
かぼちゃ,20230729,2798.244517060459
かぼちゃ,20230731,2798.244517060459
トマト,20230701,1118.7127949445787
トマト,20230703,1118.7127949445787
トマト,20230704,1118.7127949445787
トマト,20230706,1118.7127949445787
トマト,20230707,1118.7127949445787
トマト,20230708,1118.7127949445787
トマト,20230710,1118.7127949445787
トマト,20230711,1118.7127949445787
トマト,20230713,1118.7127949445787
トマト,20230714,1118.7127949445787
トマト,20230715,1118.7127949445787
トマト,20230718,1118.7127949445787
トマト,20230719,1118.7127949445787
トマト,20230720,1118.7127949445787
トマト,20230721,1118.7127949445787
トマト,20230722,1118.7127949445787
トマト,20230724,1118.7127949445787
トマト,20230725,1118.7127949445787
トマト,20230727,1118.7127949445787
トマト,20230728,1118.7127949445787
トマト,20230729,1118.7127949445787
トマト,20230731,1118.7127949445787
ピーマン,20230701,82.79080471045425
ピーマン,20230703,82.79080471045425
ピーマン,20230704,82.79080471045425
ピーマン,20230706,82.79080471045425
ピーマン,20230707,82.79080471045425
ピーマン,20230708,82.79080471045425
ピーマン,20230710,82.79080471045425
ピーマン,20230711,82.79080471045425
ピーマン,20230713,82.79080471045425
ピーマン,20230714,82.79080471045425
ピーマン,20230715,82.79080471045425
ピーマン,20230718,82.79080471045425
ピーマン,20230719,82.79080471045425
ピーマン,20230720,82.79080471045425
ピーマン,20230721,82.79080471045425
ピーマン,20230722,82.79080471045425
ピーマン,20230724,82.79080471045425
ピーマン,20230725,82.79080471045425
ピーマン,20230727,82.79080471045425
ピーマン,20230728,82.79080471045425
ピーマン,20230729,82.79080471045425
ピーマン,20230731,82.79080471045425
じゃがいも,20230701,2132.6441321656007
じゃがいも,20230703,2132.6441321656007
じゃがいも,20230704,2132.6441321656007
じゃがいも,20230706,2132.6441321656007
じゃがいも,20230707,2132.6441321656007
じゃがいも,20230708,2132.6441321656007
じゃがいも,20230710,2132.6441321656007
じゃがいも,20230711,2132.6441321656007
じゃがいも,20230713,2132.6441321656007
じゃがいも,20230714,2132.6441321656007
じゃがいも,20230715,2132.6441321656007
じゃがいも,20230718,2132.6441321656007
じゃがいも,20230719,2132.6441321656007
じゃがいも,20230720,2132.6441321656007
じゃがいも,20230721,2132.6441321656007
じゃがいも,20230722,2132.6441321656007
じゃがいも,20230724,2132.6441321656007
じゃがいも,20230725,2132.6441321656007
じゃがいも,20230727,2132.6441321656007
じゃがいも,20230728,2132.6441321656007
じゃがいも,20230729,2132.6441321656007
じゃがいも,20230731,2132.6441321656007
