kind,date,mode_price
にんじん,20230701,1355.2600346210072
にんじん,20230703,1355.2600346210072
にんじん,20230704,1355.2600346210072
にんじん,20230706,1355.2600346210072
にんじん,20230707,1355.2600346210072
にんじん,20230708,1355.2600346210072
にんじん,20230710,1355.2600346210072
にんじん,20230711,1355.2600346210072
にんじん,20230713,1355.2600346210072
にんじん,20230714,1355.2600346210072
にんじん,20230715,1355.2600346210072
にんじん,20230718,1355.2600346210072
にんじん,20230719,1355.2600346210072
にんじん,20230720,1355.2600346210072
にんじん,20230721,1355.2600346210072
にんじん,20230722,1355.2600346210072
にんじん,20230724,1355.2600346210072
にんじん,20230725,1355.2600346210072
にんじん,20230727,1355.2600346210072
にんじん,20230728,1355.2600346210072
にんじん,20230729,1355.2600346210072
にんじん,20230731,1355.2600346210072
キャベツ,20230701,912.5325562293837
キャベツ,20230703,912.5325562293837
キャベツ,20230704,912.5325562293837
キャベツ,20230706,912.5325562293837
キャベツ,20230707,912.5325562293837
キャベツ,20230708,912.5325562293837
キャベツ,20230710,912.5325562293837
キャベツ,20230711,912.5325562293837
キャベツ,20230713,912.5325562293837
キャベツ,20230714,912.5325562293837
キャベツ,20230715,912.5325562293837
キャベツ,20230718,912.5325562293837
キャベツ,20230719,912.5325562293837
キャベツ,20230720,912.5325562293837
キャベツ,20230721,912.5325562293837
キャベツ,20230722,912.5325562293837
キャベツ,20230724,912.5325562293837
キャベツ,20230725,912.5325562293837
キャベツ,20230727,912.5325562293837
キャベツ,20230728,912.5325562293837
キャベツ,20230729,912.5325562293837
キャベツ,20230731,912.5325562293837
はくさい,20230701,986.5984939678071
はくさい,20230703,986.5984939678071
はくさい,20230704,986.5984939678071
はくさい,20230706,986.5984939678071
はくさい,20230707,986.5984939678071
はくさい,20230708,986.5984939678071
はくさい,20230710,986.5984939678071
はくさい,20230711,986.5984939678071
はくさい,20230713,986.5984939678071
はくさい,20230714,986.5984939678071
はくさい,20230715,986.5984939678071
はくさい,20230718,986.5984939678071
はくさい,20230719,986.5984939678071
はくさい,20230720,986.5984939678071
はくさい,20230721,986.5984939678071
はくさい,20230722,986.5984939678071
はくさい,20230724,986.5984939678071
はくさい,20230725,986.5984939678071
はくさい,20230727,986.5984939678071
はくさい,20230728,986.5984939678071
はくさい,20230729,986.5984939678071
はくさい,20230731,986.5984939678071
こまつな,20230701,131.23996446617562
こまつな,20230703,131.23996446617562
こまつな,20230704,131.23996446617562
こまつな,20230706,131.23996446617562
こまつな,20230707,131.23996446617562
こまつな,20230708,131.23996446617562
こまつな,20230710,131.23996446617562
こまつな,20230711,131.23996446617562
こまつな,20230713,131.23996446617562
こまつな,20230714,131.23996446617562
こまつな,20230715,131.23996446617562
こまつな,20230718,131.23996446617562
こまつな,20230719,131.23996446617562
こまつな,20230720,131.23996446617562
