area,year,month,mean_mean_temp,max_mean_temp,min_mean_temp,mean_max_temp,max_max_temp,min_max_temp,mean_min_temp,max_min_temp,min_min_temp,mean_sum_rain,max_sum_rain,min_sum_rain,mean_sun_time,max_sun_time,min_sun_time,sum_sun_time,mean_mean_humid,max_mean_humid,min_mean_humid,sum_isOver6TimeSunset
êÂë‰,2004,11,11.255999999999998,16.4,4.4,15.196,19.3,7.5,7.152,12.0,1.1,1.34,20.0,0.0,4.436,9.4,0.0,110.9,68.32,93.0,45.0,10.0
êÂë‰,2004,12,5.422580645161291,13.3,-1.2,9.212903225806452,21.6,0.4,1.8258064516129033,8.4,-4.4,2.0483870967741935,42.0,0.0,4.441935483870967,8.9,0.0,137.7,64.2258064516129,86.0,46.0,11.0
êÂë‰,2005,1,1.5903225806451613,5.4,-2.0,5.077419354838709,11.1,0.6,-1.8096774193548388,0.9,-5.6,2.0,44.5,0.0,3.9387096774193546,9.4,0.0,122.1,69.70967741935483,92.0,51.0,9.0
êÂë‰,2005,2,0.8285714285714285,3.0,-1.3,4.335714285714286,8.6,0.3,-2.2214285714285715,0.2,-4.7,2.0,25.0,0.0,4.392857142857143,9.0,0.0,123.0,68.75,89.0,48.0,10.0
êÂë‰,2005,3,4.061290322580645,8.2,-1.2,8.332258064516129,13.5,0.1,0.22580645161290322,5.4,-4.6,1.903225806451613,28.0,0.0,5.522580645161291,10.8,0.0,171.20000000000002,63.0,89.0,43.0,17.0
êÂë‰,2005,4,10.97,20.5,5.5,16.21333333333333,27.5,9.2,6.21,12.3,0.8,1.1333333333333333,14.0,0.0,7.666666666666667,12.4,0.0,230.0,55.93333333333333,88.0,32.0,22.0
êÂë‰,2005,5,13.399999999999999,18.4,7.2,17.967741935483872,25.9,8.4,9.651612903225805,15.1,5.7,2.306451612903226,18.5,0.0,5.745161290322581,13.2,0.0,178.1,69.45161290322581,88.0,40.0,15.0
êÂë‰,2005,6,19.529999999999998,25.4,14.7,23.64333333333333,30.5,18.2,16.83,21.9,12.7,3.05,26.0,0.0,4.59,12.8,0.0,137.7,83.33333333333333,92.0,68.0,10.0
êÂë‰,2005,7,21.403225806451612,28.2,16.2,24.719354838709677,33.5,17.3,18.990322580645163,23.1,14.9,7.661290322580645,64.5,0.0,3.070967741935484,13.4,0.0,95.2,84.2258064516129,97.0,54.0,6.0
êÂë‰,2005,8,24.983870967741936,29.0,22.0,28.84193548387097,34.2,24.1,22.43548387096774,25.0,19.4,5.870967741935484,58.5,0.0,4.367741935483871,12.4,0.0,135.4,83.61290322580645,94.0,67.0,9.0
êÂë‰,2005,9,21.533333333333335,26.0,15.8,25.07,31.6,17.9,18.303333333333335,22.3,12.8,2.4,21.0,0.0,5.006666666666667,11.8,0.0,150.20000000000002,77.9,95.0,61.0,12.0
êÂë‰,2005,10,16.316129032258065,21.4,10.6,19.932258064516127,27.7,14.7,13.070967741935483,18.6,6.1,2.0483870967741935,25.5,0.0,3.309677419354839,9.5,0.0,102.60000000000001,75.48387096774194,90.0,55.0,8.0
êÂë‰,2005,11,9.523333333333333,16.2,5.1,14.08,20.8,8.0,5.48,12.8,1.0,1.1,21.0,0.0,5.863333333333333,10.0,0.0,175.9,65.23333333333333,78.0,52.0,15.0
êÂë‰,2005,12,1.7516129032258063,5.7,-1.4,5.316129032258065,10.3,1.9,-1.2161290322580647,2.0,-3.9,2.1451612903225805,23.5,0.0,4.806451612903226,8.3,0.0,149.0,68.0,87.0,49.0,14.0
êÂë‰,2006,1,0.7032258064516129,4.9,-2.7,4.077419354838709,9.7,-0.4,-2.4935483870967743,0.8,-6.3,0.5,13.5,0.0,4.809677419354839,8.8,0.0,149.1,62.0,84.0,45.0,12.0
êÂë‰,2006,2,2.185714285714286,9.2,-3.7,5.939285714285715,15.1,0.1,-1.3928571428571428,4.4,-7.5,2.232142857142857,15.0,0.0,4.742857142857143,9.4,0.0,132.8,68.60714285714286,92.0,47.0,14.0
êÂë‰,2006,3,5.012903225806451,8.5,-0.3,9.519354838709678,16.8,2.9,0.8483870967741935,4.3,-2.9,2.274193548387097,18.0,0.0,6.548387096774194,11.5,0.0,203.0,58.45161290322581,91.0,30.0,20.0
êÂë‰,2006,4,8.953333333333335,14.4,3.9,13.223333333333333,21.3,5.9,5.293333333333334,10.4,-0.1,2.533333333333333,21.0,0.0,5.13,12.3,0.0,153.9,64.96666666666667,95.0,41.0,12.0
êÂë‰,2006,5,15.229032258064517,18.5,9.2,19.6,24.5,12.9,11.570967741935483,15.9,5.1,3.2903225806451615,57.0,0.0,4.561290322580645,12.8,0.0,141.4,75.19354838709677,94.0,45.0,11.0
êÂë‰,2006,6,18.85,24.4,13.1,22.39333333333333,31.9,14.4,16.083333333333332,20.1,12.1,5.15,67.0,0.0,3.5533333333333332,12.7,0.0,106.6,81.93333333333334,95.0,59.0,10.0
êÂë‰,2006,7,21.538709677419355,28.7,18.1,24.548387096774192,33.6,18.8,19.38064516129032,23.4,17.3,10.46774193548387,56.0,0.0,1.7838709677419353,8.4,0.0,55.3,87.83870967741936,97.0,66.0,4.0
êÂë‰,2006,8,24.52258064516129,27.0,19.2,28.470967741935485,33.9,21.7,21.9741935483871,24.4,16.7,1.3064516129032258,13.0,0.0,4.529032258064516,12.9,0.0,140.4,84.06451612903226,97.0,66.0,11.0
êÂë‰,2006,9,20.363333333333333,24.9,16.0,24.223333333333336,31.7,17.7,17.09,22.9,12.6,7.166666666666667,73.0,0.0,4.59,11.3,0.0,137.7,78.6,97.0,58.0,13.0
êÂë‰,2006,10,15.51290322580645,20.0,8.4,19.66774193548387,24.7,9.8,11.670967741935485,16.0,6.5,9.838709677419354,79.0,0.0,5.087096774193548,10.1,0.0,157.7,76.12903225806451,95.0,56.0,15.0
êÂë‰,2006,11,10.08,15.1,4.7,14.51,20.8,6.5,6.096666666666667,12.3,0.2,4.766666666666667,40.5,0.0,5.21,9.8,0.0,156.3,72.1,94.0,50.0,15.0
êÂë‰,2006,12,4.783870967741936,12.6,1.4,8.53225806451613,16.5,2.7,1.425806451612903,8.6,-1.3,2.9193548387096775,53.5,0.0,3.2838709677419353,8.4,0.0,101.8,71.64516129032258,86.0,61.0,6.0
êÂë‰,2007,1,3.7838709677419353,6.5,2.0,7.66774193548387,12.7,4.2,0.31290322580645163,4.7,-1.8,1.6451612903225807,40.5,0.0,4.877419354838709,9.4,0.0,151.2,66.54838709677419,84.0,54.0,15.0
êÂë‰,2007,2,3.8785714285714286,7.6,0.4,8.1,14.5,2.9,0.046428571428571444,3.4,-3.0,1.2678571428571428,27.5,0.0,6.4071428571428575,10.5,0.0,179.4,62.214285714285715,89.0,36.0,19.0
êÂë‰,2007,3,5.312903225806451,11.2,-0.8,9.803225806451612,17.3,2.0,1.238709677419355,8.6,-2.6,1.2580645161290323,17.0,0.0,5.567741935483871,11.0,0.0,172.6,62.45161290322581,84.0,33.0,15.0
êÂë‰,2007,4,9.493333333333334,16.5,5.3,14.013333333333332,24.1,7.2,5.6433333333333335,9.8,0.2,1.9666666666666666,25.0,0.0,5.37,12.4,0.0,161.1,66.6,92.0,39.0,14.0
êÂë‰,2007,5,15.412903225806453,19.4,11.5,19.929032258064513,25.9,14.6,11.429032258064517,14.5,8.2,3.661290322580645,38.5,0.0,6.445161290322581,12.8,0.0,199.8,67.7741935483871,93.0,50.0,17.0
êÂë‰,2007,6,19.783333333333335,23.0,15.4,23.779999999999998,28.7,19.0,16.82,20.3,12.3,5.3,61.5,0.0,5.346666666666667,13.6,0.0,160.4,81.26666666666667,95.0,61.0,11.0
êÂë‰,2007,7,20.893548387096775,26.2,17.0,23.81935483870968,30.7,18.2,18.483870967741936,22.2,15.9,9.774193548387096,99.0,0.0,3.203225806451613,13.4,0.0,99.3,85.54838709677419,97.0,66.0,8.0
êÂë‰,2007,8,25.63225806451613,31.2,18.2,29.932258064516127,37.2,20.4,21.9741935483871,26.7,16.3,4.354838709677419,51.0,0.0,6.367741935483871,12.9,0.0,197.4,77.48387096774194,93.0,60.0,17.0
êÂë‰,2007,9,22.3,27.3,16.5,26.15,32.8,18.5,19.293333333333333,23.6,13.9,6.35,36.5,0.0,4.443333333333333,11.5,0.0,133.3,81.3,94.0,56.0,13.0
êÂë‰,2007,10,15.961290322580645,19.6,12.9,20.129032258064516,24.5,13.8,12.161290322580646,17.0,7.4,5.17741935483871,87.0,0.0,5.025806451612904,10.4,0.0,155.8,69.70967741935483,95.0,50.0,14.0
êÂë‰,2007,11,9.17,15.4,0.7,13.33,19.5,2.9,4.959999999999999,12.3,-0.8,1.4666666666666666,30.0,0.0,4.556666666666667,9.5,0.0,136.7,67.7,87.0,47.0,10.0
êÂë‰,2007,12,4.854838709677419,9.7,0.9,8.235483870967743,13.7,2.3,1.6419354838709677,5.5,-1.6,1.7258064516129032,38.0,0.0,3.4387096774193546,8.6,0.0,106.6,70.06451612903226,87.0,55.0,5.0
êÂë‰,2008,1,1.3161290322580643,4.5,-2.2,5.048387096774194,10.7,0.6,-1.932258064516129,0.7,-4.9,0.3225806451612903,4.5,0.0,4.9,9.2,0.0,151.9,67.6774193548387,81.0,53.0,11.0
êÂë‰,2008,2,1.6275862068965519,7.3,-1.8,5.886206896551724,11.9,0.3,-1.8655172413793104,1.7,-4.3,0.7413793103448276,8.0,0.0,5.317241379310344,9.5,0.0,154.2,63.51724137931034,80.0,49.0,15.0
êÂë‰,2008,3,6.554838709677419,10.5,3.1,11.154838709677419,18.3,6.3,2.5290322580645164,6.1,-1.4,1.2903225806451613,12.5,0.0,6.083870967741936,11.2,0.0,188.6,63.32258064516129,89.0,47.0,20.0
